x1_s,x2_s,x3_s
2.4,56.4,58.8
2.4,56.4,60.0
2.4,56.4,61.2
2.4,56.4,62.4
2.4,56.4,63.6
2.4,56.4,64.8
2.4,56.4,66.0
2.4,56.4,67.2
2.4,56.4,68.4
2.4,56.4,69.6
2.4,56.4,70.8
2.4,56.4,72.0
2.4,56.4,73.2
2.4,56.4,74.4
2.4,56.4,75.6
2.4,56.4,76.8
2.4,56.4,78.0
2.4,56.4,79.2
2.4,56.4,80.4
2.4,56.4,81.6
2.4,56.4,82.8
2.4,56.4,84.0
2.4,56.4,85.2
2.4,56.4,86.4
2.4,57.6,51.6
2.4,57.6,52.8
2.4,57.6,54.0
2.4,57.6,55.2
2.4,57.6,56.4
2.4,57.6,57.6
2.4,57.6,58.8
2.4,57.6,60.0
2.4,57.6,61.2
2.4,57.6,62.4
2.4,57.6,63.6
2.4,57.6,64.8
2.4,57.6,66.0
2.4,57.6,67.2
2.4,57.6,68.4
2.4,57.6,69.6
2.4,57.6,70.8
2.4,57.6,72.0
2.4,57.6,73.2
2.4,57.6,74.4
2.4,57.6,75.6
2.4,57.6,76.8
2.4,57.6,78.0
2.4,57.6,79.2
2.4,57.6,80.4
2.4,57.6,81.6
2.4,57.6,82.8
2.4,57.6,84.0
2.4,57.6,85.2
2.4,57.6,86.4
2.4,57.6,87.6
2.4,58.8,52.8
2.4,58.8,54.0
2.4,58.8,55.2
2.4,58.8,56.4
2.4,58.8,57.6
2.4,58.8,58.8
2.4,58.8,60.0
2.4,58.8,61.2
2.4,58.8,62.4
2.4,58.8,63.6
2.4,58.8,64.8
2.4,58.8,66.0
2.4,58.8,67.2
2.4,58.8,68.4
2.4,58.8,69.6
2.4,58.8,70.8
2.4,58.8,72.0
2.4,58.8,73.2
2.4,58.8,74.4
2.4,58.8,75.6
2.4,58.8,76.8
2.4,58.8,78.0
2.4,58.8,79.2
2.4,58.8,80.4
2.4,58.8,81.6
2.4,58.8,82.8
2.4,58.8,84.0
2.4,58.8,85.2
2.4,58.8,86.4
2.4,58.8,87.6
2.4,58.8,88.8
2.4,60.0,54.0
2.4,60.0,55.2
2.4,60.0,56.4
2.4,60.0,57.6
2.4,60.0,58.8
2.4,60.0,60.0
2.4,60.0,61.2
2.4,60.0,62.4
2.4,60.0,63.6
2.4,60.0,64.8
2.4,60.0,66.0
2.4,60.0,67.2
2.4,60.0,68.4
2.4,60.0,69.6
2.4,60.0,70.8
2.4,60.0,72.0
2.4,60.0,73.2
2.4,60.0,74.4
2.4,60.0,75.6
2.4,60.0,76.8
2.4,60.0,78.0
2.4,60.0,79.2
2.4,60.0,80.4
2.4,60.0,81.6
2.4,60.0,82.8
2.4,60.0,84.0
2.4,60.0,85.2
2.4,60.0,86.4
2.4,60.0,87.6
2.4,60.0,88.8
2.4,60.0,90.0
2.4,61.2,55.2
2.4,61.2,56.4
2.4,61.2,57.6
2.4,61.2,58.8
2.4,61.2,60.0
2.4,61.2,61.2
2.4,61.2,62.4
2.4,61.2,63.6
2.4,61.2,64.8
2.4,61.2,66.0
2.4,61.2,67.2
2.4,61.2,68.4
2.4,61.2,69.6
2.4,61.2,70.8
2.4,61.2,72.0
2.4,61.2,73.2
2.4,61.2,74.4
2.4,61.2,75.6
2.4,61.2,76.8
2.4,61.2,78.0
2.4,61.2,79.2
2.4,61.2,80.4
2.4,61.2,81.6
2.4,61.2,82.8
2.4,61.2,84.0
2.4,61.2,85.2
2.4,61.2,86.4
2.4,61.2,87.6
2.4,61.2,88.8
2.4,61.2,90.0
2.4,61.2,91.2
2.4,62.4,56.4
2.4,62.4,57.6
2.4,62.4,58.8
2.4,62.4,60.0
2.4,62.4,61.2
2.4,62.4,62.4
2.4,62.4,63.6
2.4,62.4,64.8
2.4,62.4,66.0
2.4,62.4,67.2
2.4,62.4,68.4
2.4,62.4,69.6
2.4,62.4,70.8
2.4,62.4,72.0
2.4,62.4,73.2
2.4,62.4,74.4
2.4,62.4,75.6
2.4,62.4,76.8
2.4,62.4,78.0
2.4,62.4,79.2
2.4,62.4,80.4
2.4,62.4,81.6
2.4,62.4,82.8
2.4,62.4,84.0
2.4,62.4,85.2
2.4,62.4,86.4
2.4,62.4,87.6
2.4,62.4,88.8
2.4,62.4,90.0
2.4,62.4,91.2
2.4,62.4,92.4
2.4,63.6,85.2
2.4,63.6,86.4
2.4,63.6,87.6
2.4,63.6,88.8
2.4,63.6,90.0
2.4,63.6,91.2
2.4,63.6,92.4
2.4,63.6,93.6
2.4,64.8,86.4
2.4,64.8,87.6
2.4,64.8,88.8
2.4,64.8,90.0
2.4,64.8,91.2
2.4,64.8,92.4
2.4,64.8,93.6
2.4,64.8,94.8
2.4,66.0,87.6
2.4,66.0,88.8
2.4,66.0,90.0
2.4,66.0,91.2
2.4,66.0,92.4
2.4,66.0,93.6
2.4,66.0,94.8
2.4,66.0,96.0
2.4,67.2,88.8
2.4,67.2,90.0
2.4,67.2,91.2
2.4,67.2,92.4
2.4,67.2,93.6
2.4,67.2,94.8
2.4,67.2,96.0
2.4,67.2,97.2
2.4,68.4,90.0
2.4,68.4,91.2
2.4,68.4,92.4
2.4,68.4,93.6
2.4,68.4,94.8
2.4,68.4,96.0
2.4,68.4,97.2
2.4,68.4,98.4
2.4,69.6,91.2
2.4,69.6,92.4
2.4,69.6,93.6
2.4,69.6,94.8
2.4,69.6,96.0
2.4,69.6,97.2
2.4,69.6,98.4
2.4,69.6,99.6
2.4,70.8,92.4
2.4,70.8,93.6
2.4,70.8,94.8
2.4,70.8,96.0
2.4,70.8,97.2
2.4,70.8,98.4
2.4,70.8,99.6
2.4,70.8,100.8
2.4,72.0,93.6
2.4,72.0,94.8
2.4,72.0,96.0
2.4,72.0,97.2
2.4,72.0,98.4
2.4,72.0,99.6
2.4,72.0,100.8
2.4,72.0,102.0
2.4,73.2,94.8
2.4,73.2,96.0
2.4,73.2,97.2
2.4,73.2,98.4
2.4,73.2,99.6
2.4,73.2,100.8
2.4,73.2,102.0
2.4,73.2,103.2
2.4,74.4,96.0
2.4,74.4,97.2
2.4,74.4,98.4
2.4,74.4,99.6
2.4,74.4,100.8
2.4,74.4,102.0
2.4,74.4,103.2
2.4,74.4,104.4
2.4,75.6,96.0
2.4,75.6,97.2
2.4,75.6,98.4
2.4,75.6,99.6
2.4,75.6,100.8
2.4,75.6,102.0
2.4,75.6,103.2
2.4,75.6,104.4
2.4,76.8,96.0
2.4,76.8,97.2
2.4,76.8,98.4
2.4,76.8,99.6
2.4,76.8,100.8
2.4,76.8,102.0
2.4,76.8,103.2
2.4,76.8,104.4
2.4,78.0,96.0
2.4,78.0,97.2
2.4,78.0,98.4
2.4,78.0,99.6
2.4,78.0,100.8
2.4,78.0,102.0
2.4,78.0,103.2
2.4,78.0,104.4
2.4,79.2,96.0
2.4,79.2,97.2
2.4,79.2,98.4
2.4,79.2,99.6
2.4,79.2,100.8
2.4,79.2,102.0
2.4,79.2,103.2
2.4,79.2,104.4
2.4,80.4,96.0
2.4,80.4,97.2
2.4,80.4,98.4
2.4,80.4,99.6
2.4,80.4,100.8
2.4,80.4,102.0
2.4,80.4,103.2
2.4,80.4,104.4
2.4,81.6,96.0
2.4,81.6,97.2
2.4,81.6,98.4
2.4,81.6,99.6
2.4,81.6,100.8
2.4,81.6,102.0
2.4,81.6,103.2
2.4,81.6,104.4
2.4,82.8,96.0
2.4,82.8,97.2
2.4,82.8,98.4
2.4,82.8,99.6
2.4,82.8,100.8
2.4,82.8,102.0
2.4,82.8,103.2
2.4,82.8,104.4
2.4,84.0,96.0
2.4,84.0,97.2
2.4,84.0,98.4
2.4,84.0,99.6
2.4,84.0,100.8
2.4,84.0,102.0
2.4,84.0,103.2
2.4,84.0,104.4
2.4,85.2,96.0
2.4,85.2,97.2
2.4,85.2,98.4
2.4,85.2,99.6
2.4,85.2,100.8
2.4,85.2,102.0
2.4,85.2,103.2
2.4,85.2,104.4
2.4,86.4,96.0
2.4,86.4,97.2
2.4,86.4,98.4
2.4,86.4,99.6
2.4,86.4,100.8
2.4,86.4,102.0
2.4,86.4,103.2
2.4,86.4,104.4
2.4,87.6,96.0
2.4,87.6,97.2
2.4,87.6,98.4
2.4,87.6,99.6
2.4,87.6,100.8
2.4,87.6,102.0
2.4,87.6,103.2
2.4,87.6,104.4
2.4,88.8,96.0
2.4,88.8,97.2
2.4,88.8,98.4
2.4,88.8,99.6
2.4,88.8,100.8
2.4,88.8,102.0
2.4,88.8,103.2
2.4,88.8,104.4
2.4,90.0,96.0
2.4,90.0,97.2
2.4,90.0,98.4
2.4,90.0,99.6
2.4,90.0,100.8
2.4,90.0,102.0
2.4,90.0,103.2
2.4,90.0,104.4
3.6,51.6,45.6
3.6,51.6,46.8
3.6,51.6,48.0
3.6,51.6,49.2
3.6,51.6,50.4
3.6,51.6,51.6
3.6,51.6,52.8
3.6,51.6,54.0
3.6,51.6,55.2
3.6,51.6,56.4
3.6,51.6,57.6
3.6,51.6,58.8
3.6,51.6,60.0
3.6,51.6,61.2
3.6,51.6,62.4
3.6,51.6,63.6
3.6,51.6,64.8
3.6,51.6,66.0
3.6,51.6,67.2
3.6,51.6,68.4
3.6,51.6,69.6
3.6,51.6,70.8
3.6,51.6,72.0
3.6,51.6,73.2
3.6,51.6,74.4
3.6,51.6,75.6
3.6,51.6,76.8
3.6,51.6,78.0
3.6,51.6,79.2
3.6,51.6,80.4
3.6,51.6,81.6
3.6,52.8,46.8
3.6,52.8,48.0
3.6,52.8,49.2
3.6,52.8,50.4
3.6,52.8,51.6
3.6,52.8,52.8
3.6,52.8,54.0
3.6,52.8,55.2
3.6,52.8,56.4
3.6,52.8,57.6
3.6,52.8,58.8
3.6,52.8,60.0
3.6,52.8,61.2
3.6,52.8,62.4
3.6,52.8,63.6
3.6,52.8,64.8
3.6,52.8,66.0
3.6,52.8,67.2
3.6,52.8,68.4
3.6,52.8,69.6
3.6,52.8,70.8
3.6,52.8,72.0
3.6,52.8,73.2
3.6,52.8,74.4
3.6,52.8,75.6
3.6,52.8,76.8
3.6,52.8,78.0
3.6,52.8,79.2
3.6,52.8,80.4
3.6,52.8,81.6
3.6,52.8,82.8
3.6,54.0,48.0
3.6,54.0,49.2
3.6,54.0,50.4
3.6,54.0,51.6
3.6,54.0,52.8
3.6,54.0,54.0
3.6,54.0,55.2
3.6,54.0,56.4
3.6,54.0,57.6
3.6,54.0,58.8
3.6,54.0,60.0
3.6,54.0,61.2
3.6,54.0,62.4
3.6,54.0,63.6
3.6,54.0,64.8
3.6,54.0,66.0
3.6,54.0,67.2
3.6,54.0,68.4
3.6,54.0,69.6
3.6,54.0,70.8
3.6,54.0,72.0
3.6,54.0,73.2
3.6,54.0,74.4
3.6,54.0,75.6
3.6,54.0,76.8
3.6,54.0,78.0
3.6,54.0,79.2
3.6,54.0,80.4
3.6,54.0,81.6
3.6,54.0,82.8
3.6,54.0,84.0
3.6,55.2,49.2
3.6,55.2,50.4
3.6,55.2,51.6
3.6,55.2,52.8
3.6,55.2,54.0
3.6,55.2,55.2
3.6,55.2,56.4
3.6,55.2,57.6
3.6,55.2,58.8
3.6,55.2,60.0
3.6,55.2,61.2
3.6,55.2,62.4
3.6,55.2,63.6
3.6,55.2,64.8
3.6,55.2,66.0
3.6,55.2,67.2
3.6,55.2,68.4
3.6,55.2,69.6
3.6,55.2,70.8
3.6,55.2,72.0
3.6,55.2,73.2
3.6,55.2,74.4
3.6,55.2,75.6
3.6,55.2,76.8
3.6,55.2,78.0
3.6,55.2,79.2
3.6,55.2,80.4
3.6,55.2,81.6
3.6,55.2,82.8
3.6,55.2,84.0
3.6,55.2,85.2
3.6,56.4,50.4
3.6,56.4,51.6
3.6,56.4,52.8
3.6,56.4,54.0
3.6,56.4,55.2
3.6,56.4,56.4
3.6,56.4,57.6
3.6,56.4,58.8
3.6,56.4,60.0
3.6,56.4,61.2
3.6,56.4,62.4
3.6,56.4,63.6
3.6,56.4,64.8
3.6,56.4,66.0
3.6,56.4,67.2
3.6,56.4,68.4
3.6,56.4,69.6
3.6,56.4,70.8
3.6,56.4,72.0
3.6,56.4,73.2
3.6,56.4,74.4
3.6,56.4,75.6
3.6,56.4,76.8
3.6,56.4,78.0
3.6,56.4,79.2
3.6,56.4,80.4
3.6,56.4,81.6
3.6,56.4,82.8
3.6,56.4,84.0
3.6,56.4,85.2
3.6,56.4,86.4
3.6,57.6,51.6
3.6,57.6,52.8
3.6,57.6,54.0
3.6,57.6,55.2
3.6,57.6,56.4
3.6,57.6,57.6
3.6,57.6,58.8
3.6,57.6,60.0
3.6,57.6,61.2
3.6,57.6,62.4
3.6,57.6,63.6
3.6,57.6,64.8
3.6,57.6,66.0
3.6,57.6,67.2
3.6,57.6,68.4
3.6,57.6,69.6
3.6,57.6,70.8
3.6,57.6,72.0
3.6,57.6,73.2
3.6,57.6,74.4
3.6,57.6,75.6
3.6,57.6,76.8
3.6,57.6,78.0
3.6,57.6,79.2
3.6,57.6,80.4
3.6,57.6,81.6
3.6,57.6,82.8
3.6,57.6,84.0
3.6,57.6,85.2
3.6,57.6,86.4
3.6,57.6,87.6
3.6,58.8,52.8
3.6,58.8,54.0
3.6,58.8,55.2
3.6,58.8,56.4
3.6,58.8,57.6
3.6,58.8,58.8
3.6,58.8,60.0
3.6,58.8,61.2
3.6,58.8,62.4
3.6,58.8,63.6
3.6,58.8,64.8
3.6,58.8,66.0
3.6,58.8,67.2
3.6,58.8,68.4
3.6,58.8,69.6
3.6,58.8,70.8
3.6,58.8,72.0
3.6,58.8,73.2
3.6,58.8,74.4
3.6,58.8,75.6
3.6,58.8,76.8
3.6,58.8,78.0
3.6,58.8,79.2
3.6,58.8,80.4
3.6,58.8,81.6
3.6,58.8,82.8
3.6,58.8,84.0
3.6,58.8,85.2
3.6,58.8,86.4
3.6,58.8,87.6
3.6,58.8,88.8
3.6,60.0,54.0
3.6,60.0,55.2
3.6,60.0,56.4
3.6,60.0,57.6
3.6,60.0,58.8
3.6,60.0,60.0
3.6,60.0,61.2
3.6,60.0,62.4
3.6,60.0,63.6
3.6,60.0,64.8
3.6,60.0,66.0
3.6,60.0,67.2
3.6,60.0,68.4
3.6,60.0,69.6
3.6,60.0,70.8
3.6,60.0,72.0
3.6,60.0,73.2
3.6,60.0,74.4
3.6,60.0,75.6
3.6,60.0,76.8
3.6,60.0,78.0
3.6,60.0,79.2
3.6,60.0,80.4
3.6,60.0,81.6
3.6,60.0,82.8
3.6,60.0,84.0
3.6,60.0,85.2
3.6,60.0,86.4
3.6,60.0,87.6
3.6,60.0,88.8
3.6,60.0,90.0
3.6,61.2,55.2
3.6,61.2,56.4
3.6,61.2,57.6
3.6,61.2,58.8
3.6,61.2,60.0
3.6,61.2,61.2
3.6,61.2,62.4
3.6,61.2,63.6
3.6,61.2,64.8
3.6,61.2,66.0
3.6,61.2,67.2
3.6,61.2,68.4
3.6,61.2,69.6
3.6,61.2,70.8
3.6,61.2,72.0
3.6,61.2,73.2
3.6,61.2,74.4
3.6,61.2,75.6
3.6,61.2,76.8
3.6,61.2,78.0
3.6,61.2,79.2
3.6,61.2,80.4
3.6,61.2,81.6
3.6,61.2,82.8
3.6,61.2,84.0
3.6,61.2,85.2
3.6,61.2,86.4
3.6,61.2,87.6
3.6,61.2,88.8
3.6,61.2,90.0
3.6,61.2,91.2
3.6,62.4,56.4
3.6,62.4,57.6
3.6,62.4,58.8
3.6,62.4,60.0
3.6,62.4,61.2
3.6,62.4,62.4
3.6,62.4,63.6
3.6,62.4,64.8
3.6,62.4,66.0
3.6,62.4,67.2
3.6,62.4,68.4
3.6,62.4,69.6
3.6,62.4,70.8
3.6,62.4,72.0
3.6,62.4,73.2
3.6,62.4,74.4
3.6,62.4,75.6
3.6,62.4,76.8
3.6,62.4,78.0
3.6,62.4,79.2
3.6,62.4,80.4
3.6,62.4,81.6
3.6,62.4,82.8
3.6,62.4,84.0
3.6,62.4,85.2
3.6,62.4,86.4
3.6,62.4,87.6
3.6,62.4,88.8
3.6,62.4,90.0
3.6,62.4,91.2
3.6,62.4,92.4
3.6,63.6,57.6
3.6,63.6,58.8
3.6,63.6,60.0
3.6,63.6,61.2
3.6,63.6,62.4
3.6,63.6,63.6
3.6,63.6,64.8
3.6,63.6,66.0
3.6,63.6,67.2
3.6,63.6,68.4
3.6,63.6,69.6
3.6,63.6,70.8
3.6,63.6,72.0
3.6,63.6,73.2
3.6,63.6,74.4
3.6,63.6,75.6
3.6,63.6,76.8
3.6,63.6,78.0
3.6,63.6,79.2
3.6,63.6,80.4
3.6,63.6,81.6
3.6,63.6,82.8
3.6,63.6,84.0
3.6,63.6,85.2
3.6,63.6,86.4
3.6,63.6,87.6
3.6,63.6,88.8
3.6,63.6,90.0
3.6,63.6,91.2
3.6,63.6,92.4
3.6,63.6,93.6
3.6,64.8,85.2
3.6,64.8,86.4
3.6,64.8,87.6
3.6,64.8,88.8
3.6,64.8,90.0
3.6,64.8,91.2
3.6,64.8,92.4
3.6,64.8,93.6
3.6,64.8,94.8
3.6,66.0,86.4
3.6,66.0,87.6
3.6,66.0,88.8
3.6,66.0,90.0
3.6,66.0,91.2
3.6,66.0,92.4
3.6,66.0,93.6
3.6,66.0,94.8
3.6,66.0,96.0
3.6,67.2,87.6
3.6,67.2,88.8
3.6,67.2,90.0
3.6,67.2,91.2
3.6,67.2,92.4
3.6,67.2,93.6
3.6,67.2,94.8
3.6,67.2,96.0
3.6,67.2,97.2
3.6,68.4,88.8
3.6,68.4,90.0
3.6,68.4,91.2
3.6,68.4,92.4
3.6,68.4,93.6
3.6,68.4,94.8
3.6,68.4,96.0
3.6,68.4,97.2
3.6,68.4,98.4
3.6,69.6,90.0
3.6,69.6,91.2
3.6,69.6,92.4
3.6,69.6,93.6
3.6,69.6,94.8
3.6,69.6,96.0
3.6,69.6,97.2
3.6,69.6,98.4
3.6,69.6,99.6
3.6,70.8,91.2
3.6,70.8,92.4
3.6,70.8,93.6
3.6,70.8,94.8
3.6,70.8,96.0
3.6,70.8,97.2
3.6,70.8,98.4
3.6,70.8,99.6
3.6,70.8,100.8
3.6,72.0,92.4
3.6,72.0,93.6
3.6,72.0,94.8
3.6,72.0,96.0
3.6,72.0,97.2
3.6,72.0,98.4
3.6,72.0,99.6
3.6,72.0,100.8
3.6,72.0,102.0
3.6,73.2,93.6
3.6,73.2,94.8
3.6,73.2,96.0
3.6,73.2,97.2
3.6,73.2,98.4
3.6,73.2,99.6
3.6,73.2,100.8
3.6,73.2,102.0
3.6,73.2,103.2
3.6,74.4,94.8
3.6,74.4,96.0
3.6,74.4,97.2
3.6,74.4,98.4
3.6,74.4,99.6
3.6,74.4,100.8
3.6,74.4,102.0
3.6,74.4,103.2
3.6,74.4,104.4
3.6,75.6,96.0
3.6,75.6,97.2
3.6,75.6,98.4
3.6,75.6,99.6
3.6,75.6,100.8
3.6,75.6,102.0
3.6,75.6,103.2
3.6,75.6,104.4
3.6,75.6,105.6
3.6,76.8,96.0
3.6,76.8,97.2
3.6,76.8,98.4
3.6,76.8,99.6
3.6,76.8,100.8
3.6,76.8,102.0
3.6,76.8,103.2
3.6,76.8,104.4
3.6,76.8,105.6
3.6,78.0,96.0
3.6,78.0,97.2
3.6,78.0,98.4
3.6,78.0,99.6
3.6,78.0,100.8
3.6,78.0,102.0
3.6,78.0,103.2
3.6,78.0,104.4
3.6,78.0,105.6
3.6,79.2,96.0
3.6,79.2,97.2
3.6,79.2,98.4
3.6,79.2,99.6
3.6,79.2,100.8
3.6,79.2,102.0
3.6,79.2,103.2
3.6,79.2,104.4
3.6,79.2,105.6
3.6,80.4,96.0
3.6,80.4,97.2
3.6,80.4,98.4
3.6,80.4,99.6
3.6,80.4,100.8
3.6,80.4,102.0
3.6,80.4,103.2
3.6,80.4,104.4
3.6,80.4,105.6
3.6,81.6,96.0
3.6,81.6,97.2
3.6,81.6,98.4
3.6,81.6,99.6
3.6,81.6,100.8
3.6,81.6,102.0
3.6,81.6,103.2
3.6,81.6,104.4
3.6,81.6,105.6
3.6,82.8,96.0
3.6,82.8,97.2
3.6,82.8,98.4
3.6,82.8,99.6
3.6,82.8,100.8
3.6,82.8,102.0
3.6,82.8,103.2
3.6,82.8,104.4
3.6,82.8,105.6
3.6,84.0,96.0
3.6,84.0,97.2
3.6,84.0,98.4
3.6,84.0,99.6
3.6,84.0,100.8
3.6,84.0,102.0
3.6,84.0,103.2
3.6,84.0,104.4
3.6,84.0,105.6
3.6,85.2,96.0
3.6,85.2,97.2
3.6,85.2,98.4
3.6,85.2,99.6
3.6,85.2,100.8
3.6,85.2,102.0
3.6,85.2,103.2
3.6,85.2,104.4
3.6,85.2,105.6
3.6,86.4,96.0
3.6,86.4,97.2
3.6,86.4,98.4
3.6,86.4,99.6
3.6,86.4,100.8
3.6,86.4,102.0
3.6,86.4,103.2
3.6,86.4,104.4
3.6,86.4,105.6
3.6,87.6,96.0
3.6,87.6,97.2
3.6,87.6,98.4
3.6,87.6,99.6
3.6,87.6,100.8
3.6,87.6,102.0
3.6,87.6,103.2
3.6,87.6,104.4
3.6,87.6,105.6
3.6,88.8,96.0
3.6,88.8,97.2
3.6,88.8,98.4
3.6,88.8,99.6
3.6,88.8,100.8
3.6,88.8,102.0
3.6,88.8,103.2
3.6,88.8,104.4
3.6,88.8,105.6
3.6,90.0,96.0
3.6,90.0,97.2
3.6,90.0,98.4
3.6,90.0,99.6
3.6,90.0,100.8
3.6,90.0,102.0
3.6,90.0,103.2
3.6,90.0,104.4
3.6,90.0,105.6
4.8,52.8,46.8
4.8,52.8,48.0
4.8,52.8,49.2
4.8,52.8,50.4
4.8,52.8,51.6
4.8,52.8,52.8
4.8,52.8,54.0
4.8,52.8,55.2
4.8,52.8,56.4
4.8,52.8,57.6
4.8,52.8,58.8
4.8,52.8,60.0
4.8,52.8,61.2
4.8,52.8,62.4
4.8,52.8,63.6
4.8,52.8,64.8
4.8,52.8,66.0
4.8,52.8,67.2
4.8,52.8,68.4
4.8,52.8,69.6
4.8,52.8,70.8
4.8,52.8,72.0
4.8,52.8,73.2
4.8,52.8,74.4
4.8,52.8,75.6
4.8,52.8,76.8
4.8,52.8,78.0
4.8,52.8,79.2
4.8,52.8,80.4
4.8,52.8,81.6
4.8,52.8,82.8
4.8,54.0,48.0
4.8,54.0,49.2
4.8,54.0,50.4
4.8,54.0,51.6
4.8,54.0,52.8
4.8,54.0,54.0
4.8,54.0,55.2
4.8,54.0,56.4
4.8,54.0,57.6
4.8,54.0,58.8
4.8,54.0,60.0
4.8,54.0,61.2
4.8,54.0,62.4
4.8,54.0,63.6
4.8,54.0,64.8
4.8,54.0,66.0
4.8,54.0,67.2
4.8,54.0,68.4
4.8,54.0,69.6
4.8,54.0,70.8
4.8,54.0,72.0
4.8,54.0,73.2
4.8,54.0,74.4
4.8,54.0,75.6
4.8,54.0,76.8
4.8,54.0,78.0
4.8,54.0,79.2
4.8,54.0,80.4
4.8,54.0,81.6
4.8,54.0,82.8
4.8,54.0,84.0
4.8,55.2,49.2
4.8,55.2,50.4
4.8,55.2,51.6
4.8,55.2,52.8
4.8,55.2,54.0
4.8,55.2,55.2
4.8,55.2,56.4
4.8,55.2,57.6
4.8,55.2,58.8
4.8,55.2,60.0
4.8,55.2,61.2
4.8,55.2,62.4
4.8,55.2,63.6
4.8,55.2,64.8
4.8,55.2,66.0
4.8,55.2,67.2
4.8,55.2,68.4
4.8,55.2,69.6
4.8,55.2,70.8
4.8,55.2,72.0
4.8,55.2,73.2
4.8,55.2,74.4
4.8,55.2,75.6
4.8,55.2,76.8
4.8,55.2,78.0
4.8,55.2,79.2
4.8,55.2,80.4
4.8,55.2,81.6
4.8,55.2,82.8
4.8,55.2,84.0
4.8,55.2,85.2
4.8,56.4,50.4
4.8,56.4,51.6
4.8,56.4,52.8
4.8,56.4,54.0
4.8,56.4,55.2
4.8,56.4,56.4
4.8,56.4,57.6
4.8,56.4,58.8
4.8,56.4,60.0
4.8,56.4,61.2
4.8,56.4,62.4
4.8,56.4,63.6
4.8,56.4,64.8
4.8,56.4,66.0
4.8,56.4,67.2
4.8,56.4,68.4
4.8,56.4,69.6
4.8,56.4,70.8
4.8,56.4,72.0
4.8,56.4,73.2
4.8,56.4,74.4
4.8,56.4,75.6
4.8,56.4,76.8
4.8,56.4,78.0
4.8,56.4,79.2
4.8,56.4,80.4
4.8,56.4,81.6
4.8,56.4,82.8
4.8,56.4,84.0
4.8,56.4,85.2
4.8,56.4,86.4
4.8,57.6,51.6
4.8,57.6,52.8
4.8,57.6,54.0
4.8,57.6,55.2
4.8,57.6,56.4
4.8,57.6,57.6
4.8,57.6,58.8
4.8,57.6,60.0
4.8,57.6,61.2
4.8,57.6,62.4
4.8,57.6,63.6
4.8,57.6,64.8
4.8,57.6,66.0
4.8,57.6,67.2
4.8,57.6,68.4
4.8,57.6,69.6
4.8,57.6,70.8
4.8,57.6,72.0
4.8,57.6,73.2
4.8,57.6,74.4
4.8,57.6,75.6
4.8,57.6,76.8
4.8,57.6,78.0
4.8,57.6,79.2
4.8,57.6,80.4
4.8,57.6,81.6
4.8,57.6,82.8
4.8,57.6,84.0
4.8,57.6,85.2
4.8,57.6,86.4
4.8,57.6,87.6
4.8,58.8,52.8
4.8,58.8,54.0
4.8,58.8,55.2
4.8,58.8,56.4
4.8,58.8,57.6
4.8,58.8,58.8
4.8,58.8,60.0
4.8,58.8,61.2
4.8,58.8,62.4
4.8,58.8,63.6
4.8,58.8,64.8
4.8,58.8,66.0
4.8,58.8,67.2
4.8,58.8,68.4
4.8,58.8,69.6
4.8,58.8,70.8
4.8,58.8,72.0
4.8,58.8,73.2
4.8,58.8,74.4
4.8,58.8,75.6
4.8,58.8,76.8
4.8,58.8,78.0
4.8,58.8,79.2
4.8,58.8,80.4
4.8,58.8,81.6
4.8,58.8,82.8
4.8,58.8,84.0
4.8,58.8,85.2
4.8,58.8,86.4
4.8,58.8,87.6
4.8,58.8,88.8
4.8,60.0,54.0
4.8,60.0,55.2
4.8,60.0,56.4
4.8,60.0,57.6
4.8,60.0,58.8
4.8,60.0,60.0
4.8,60.0,61.2
4.8,60.0,62.4
4.8,60.0,63.6
4.8,60.0,64.8
4.8,60.0,66.0
4.8,60.0,67.2
4.8,60.0,68.4
4.8,60.0,69.6
4.8,60.0,70.8
4.8,60.0,72.0
4.8,60.0,73.2
4.8,60.0,74.4
4.8,60.0,75.6
4.8,60.0,76.8
4.8,60.0,78.0
4.8,60.0,79.2
4.8,60.0,80.4
4.8,60.0,81.6
4.8,60.0,82.8
4.8,60.0,84.0
4.8,60.0,85.2
4.8,60.0,86.4
4.8,60.0,87.6
4.8,60.0,88.8
4.8,60.0,90.0
4.8,61.2,55.2
4.8,61.2,56.4
4.8,61.2,57.6
4.8,61.2,58.8
4.8,61.2,60.0
4.8,61.2,61.2
4.8,61.2,62.4
4.8,61.2,63.6
4.8,61.2,64.8
4.8,61.2,66.0
4.8,61.2,67.2
4.8,61.2,68.4
4.8,61.2,69.6
4.8,61.2,70.8
4.8,61.2,72.0
4.8,61.2,73.2
4.8,61.2,74.4
4.8,61.2,75.6
4.8,61.2,76.8
4.8,61.2,78.0
4.8,61.2,79.2
4.8,61.2,80.4
4.8,61.2,81.6
4.8,61.2,82.8
4.8,61.2,84.0
4.8,61.2,85.2
4.8,61.2,86.4
4.8,61.2,87.6
4.8,61.2,88.8
4.8,61.2,90.0
4.8,61.2,91.2
4.8,62.4,56.4
4.8,62.4,57.6
4.8,62.4,58.8
4.8,62.4,60.0
4.8,62.4,61.2
4.8,62.4,62.4
4.8,62.4,63.6
4.8,62.4,64.8
4.8,62.4,66.0
4.8,62.4,67.2
4.8,62.4,68.4
4.8,62.4,69.6
4.8,62.4,70.8
4.8,62.4,72.0
4.8,62.4,73.2
